"Sector","Country","Year","Quarter","Value"
"Construction","Belgium",2014,"Q1",4809.8
"Construction","Belgium",2014,"Q2",4644.2
"Construction","Belgium",2014,"Q3",4680
"Construction","Belgium",2014,"Q4",4701.3
"Construction","Belgium",2015,"Q1",4687.5
"Construction","Belgium",2015,"Q2",4758.9
"Construction","Belgium",2015,"Q3",4786.1
"Construction","Belgium",2015,"Q4",4785.5
"Construction","Belgium",2016,"Q1",4800.2
"Construction","Belgium",2016,"Q2",4851.9
"Construction","Belgium",2016,"Q3",4883.8
"Construction","Belgium",2016,"Q4",4851.2
"Construction","Belgium",2017,"Q1",4947.7
"Construction","Belgium",2017,"Q2",4931.5
"Construction","Belgium",2017,"Q3",4856.8
"Construction","Belgium",2017,"Q4",4957.7
"Construction","Belgium",2018,"Q1",5081.8
"Construction","Belgium",2018,"Q2",5195.4
"Construction","Belgium",2018,"Q3",5329
"Construction","Belgium",2018,"Q4",5458
"Construction","Belgium",2019,"Q1",5500.6
"Construction","Belgium",2019,"Q2",5484.2
"Construction","Belgium",2019,"Q3",5584
"Construction","Belgium",2019,"Q4",5678.7
"Construction","Belgium",2021,"Q1",5975.1
"Construction","Belgium",2021,"Q2",6104.7
"Construction","Belgium",2021,"Q3",6112.4
"Construction","Belgium",2021,"Q4",6341.4
"Construction","Belgium",2022,"Q1",6569.9
"Construction","Belgium",2022,"Q2",6750.6
"Construction","Belgium",2022,"Q3",6829
"Construction","Belgium",2022,"Q4",7031.6
"Construction","Belgium",2023,"Q1",7175.7
"Construction","Belgium",2023,"Q2",7214.2
"Construction","Belgium",2023,"Q3",7287.4
"Construction","Belgium",2023,"Q4",7378.3
"Construction","Belgium",2024,"Q1",7292.2
"Construction","Belgium",2024,"Q2",7407.2
"Construction","Belgium",2024,"Q3",7459.2
"Construction","Cyprus",2010,"Q1",364.1
"Construction","Cyprus",2010,"Q2",359.4
"Construction","Cyprus",2010,"Q3",355.4
"Construction","Cyprus",2010,"Q4",343.7
"Construction","Cyprus",2011,"Q1",327.8
"Construction","Cyprus",2011,"Q2",325
"Construction","Cyprus",2011,"Q3",274
"Construction","Cyprus",2011,"Q4",306.2
"Construction","Cyprus",2012,"Q1",285.8
"Construction","Cyprus",2012,"Q2",263.8
"Construction","Cyprus",2012,"Q3",250.1
"Construction","Cyprus",2012,"Q4",230.4
"Construction","Cyprus",2013,"Q1",213.9
"Construction","Cyprus",2013,"Q2",203.6
"Construction","Cyprus",2013,"Q3",184
"Construction","Cyprus",2013,"Q4",180.5
"Construction","Cyprus",2014,"Q1",177
"Construction","Cyprus",2014,"Q2",165.5
"Construction","Cyprus",2014,"Q3",157.1
"Construction","Cyprus",2014,"Q4",153.8
"Construction","Cyprus",2015,"Q1",151.5
"Construction","Cyprus",2015,"Q2",156
"Construction","Cyprus",2015,"Q3",160.2
"Construction","Cyprus",2015,"Q4",167.1
"Construction","Cyprus",2016,"Q1",171
"Construction","Cyprus",2016,"Q2",183.3
"Construction","Cyprus",2016,"Q3",197.3
"Construction","Cyprus",2016,"Q4",207.5
"Construction","Cyprus",2017,"Q1",222.3
"Construction","Cyprus",2017,"Q2",229.2
"Construction","Cyprus",2017,"Q3",228.6
"Construction","Cyprus",2017,"Q4",242.5
"Construction","Cyprus",2018,"Q1",258.7
"Construction","Cyprus",2018,"Q2",266
"Construction","Cyprus",2018,"Q3",283
"Construction","Cyprus",2018,"Q4",286.6
"Construction","Cyprus",2019,"Q1",304.4
"Construction","Cyprus",2019,"Q2",319.9
"Construction","Cyprus",2019,"Q3",332.2
"Construction","Cyprus",2019,"Q4",348.2
"Construction","Cyprus",2021,"Q1",317.2
"Construction","Cyprus",2021,"Q2",315.4
"Construction","Cyprus",2021,"Q3",312.4
"Construction","Cyprus",2021,"Q4",316.1
"Construction","Cyprus",2022,"Q1",311.4
"Construction","Cyprus",2022,"Q2",315.8
"Construction","Cyprus",2022,"Q3",320.5
"Construction","Cyprus",2022,"Q4",334.2
"Construction","Cyprus",2023,"Q1",332.3
"Construction","Cyprus",2023,"Q2",340.3
"Construction","Cyprus",2023,"Q3",355.3
"Construction","Cyprus",2023,"Q4",365.4
"Construction","Cyprus",2024,"Q1",380.3
"Construction","Cyprus",2024,"Q2",387
"Construction","Cyprus",2024,"Q3",386.1
"Construction","Germany",2010,"Q1",22859
"Construction","Germany",2010,"Q2",24453
"Construction","Germany",2010,"Q3",23882
"Construction","Germany",2010,"Q4",23259
"Construction","Germany",2011,"Q1",24518
"Construction","Germany",2011,"Q2",24856
"Construction","Germany",2011,"Q3",24840
"Construction","Germany",2011,"Q4",26082
"Construction","Germany",2012,"Q1",26417
"Construction","Germany",2012,"Q2",26387
"Construction","Germany",2012,"Q3",26398
"Construction","Germany",2012,"Q4",26319
"Construction","Germany",2013,"Q1",26180
"Construction","Germany",2013,"Q2",27102
"Construction","Germany",2013,"Q3",27637
"Construction","Germany",2013,"Q4",28037
"Construction","Germany",2014,"Q1",28469
"Construction","Germany",2014,"Q2",28068
"Construction","Germany",2014,"Q3",28152
"Construction","Germany",2014,"Q4",28296
"Construction","Germany",2015,"Q1",28486
"Construction","Germany",2015,"Q2",28382
"Construction","Germany",2015,"Q3",28554
"Construction","Germany",2015,"Q4",29024
"Construction","Germany",2016,"Q1",29820
"Construction","Germany",2016,"Q2",30326
"Construction","Germany",2016,"Q3",30402
"Construction","Germany",2016,"Q4",30357
"Construction","Germany",2017,"Q1",31017
"Construction","Germany",2017,"Q2",32077
"Construction","Germany",2017,"Q3",32534
"Construction","Germany",2017,"Q4",33191
"Construction","Germany",2018,"Q1",32996
"Construction","Germany",2018,"Q2",34122
"Construction","Germany",2018,"Q3",35014
"Construction","Germany",2018,"Q4",36328
"Construction","Germany",2019,"Q1",35621
"Construction","Germany",2019,"Q2",35600
"Construction","Germany",2019,"Q3",36731
"Construction","Germany",2019,"Q4",37122
"Construction","Germany",2021,"Q1",38128
"Construction","Germany",2021,"Q2",40678
"Construction","Germany",2021,"Q3",40943
"Construction","Germany",2021,"Q4",42161
"Construction","Germany",2022,"Q1",40777
"Construction","Germany",2022,"Q2",43004
"Construction","Germany",2022,"Q3",43973
"Construction","Germany",2022,"Q4",45443
"Construction","Germany",2023,"Q1",50089
"Construction","Germany",2023,"Q2",51536
"Construction","Germany",2023,"Q3",52059
"Construction","Germany",2023,"Q4",51662
